Class	Stomach	Gills	Sed	WC
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	0	0	0.000133333	0
k__Bacteria;p__Fibrobacteres;c__TG3	0.000125	0.002	0.001	0
k__Bacteria;p__Firmicutes;c__Bacilli	0.00075	0.0024	0.000466667	0.007666667
k__Bacteria;p__Firmicutes;c__Clostridia	0.002125	0.0049	0.0103	0.000666667
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0	0	0	0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	0.001125	0.0012	0.000433333	0
k__Bacteria;p__GN02;c__	0	0.0001	0.000133333	0
k__Bacteria;p__GN02;c__3BR-5F	0	0	3.33E-05	0
k__Bacteria;p__GN02;c__BB34	0	0	0.000166667	0
k__Bacteria;p__GN02;c__BD1-5	0	0.0465	0.000466667	0
k__Bacteria;p__GN02;c__GKS2-174	0	0	3.33E-05	0
k__Bacteria;p__GN02;c__GN07	0	0	0	0
k__Bacteria;p__GN02;c__IIB17	0	0	0.0001	0
k__Bacteria;p__GN04;c__	0	0.0002	0.000166667	0
k__Bacteria;p__GN04;c__5bav_B12	0	0	3.33E-05	0
k__Bacteria;p__GN04;c__GN15	0	0.0001	0.001433333	0
k__Bacteria;p__GOUTA4;c__	0	0	3.33E-05	0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1	0	0	0.000333333	0.000166667
k__Bacteria;p__Gemmatimonadetes;c__Gemm-2	0	0.0003	0.002833333	0.000166667
k__Bacteria;p__Gemmatimonadetes;c__Gemm-4	0	0.0003	0.000866667	0.000166667
k__Bacteria;p__Gemmatimonadetes;c__Gemm-5	0	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__JL-ETNP-Z39	0	0	0.000133333	0
k__Bacteria;p__H-178;c__	0	0.0004	0.001066667	0
k__Bacteria;p__Hyd24-12;c__WM88	0	0.0009	0.000566667	0
k__Bacteria;p__KSB3;Other	0	0	0	0
k__Bacteria;p__KSB3;c__	0.000125	0	0.000533333	0
k__Bacteria;p__KSB3;c__GN06	0	0	0	0
k__Bacteria;p__LCP-89;c__SAW1_B44	0	0	0.000533333	0
k__Bacteria;p__LD1;c__	0.000125	0	0	0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0.0005	0.0007	0.0024	0.000833333
k__Bacteria;p__MVS-104;c__	0	0	3.33E-05	0.000166667
k__Bacteria;p__NKB19;c__	0	0	6.67E-05	0
k__Bacteria;p__NKB19;c__SHAB590	0	0	0	0
k__Bacteria;p__NKB19;c__TSBW08	0	0.0002	6.67E-05	0
k__Bacteria;p__Nitrospirae;c__Nitrospira	0	0	0.000133333	0.000166667
k__Bacteria;p__OD1;c__	0	0.0001	0.000166667	0
k__Bacteria;p__OD1;c__ABY1	0	0.0001	6.67E-05	0
k__Bacteria;p__OD1;c__ZB2	0	0.0003	0.000466667	0.001333333
k__Bacteria;p__OP1;c__MSBL6	0	0	6.67E-05	0
k__Bacteria;p__OP1;c__[Acetothermia]	0	0	6.67E-05	0
k__Bacteria;p__OP11;c__	0	0	0	0
k__Bacteria;p__OP11;c__WCHB1-64	0	0	0.000133333	0
k__Bacteria;p__OP3;Other	0	0	6.67E-05	0
k__Bacteria;p__OP3;c__	0	0	0	0
k__Bacteria;p__OP3;c__BD4-9	0	0.0002	0.0008	0.000166667
k__Bacteria;p__OP3;c__PBS-25	0	0.0001	0.000233333	0.000166667
k__Bacteria;p__OP3;c__koll11	0	0	0.000233333	0
k__Bacteria;p__OP8;c__OP8_1	0	0.0001	0.000266667	0
k__Bacteria;p__OP8;c__OP8_2	0.000125	0.0003	0.0006	0
k__Bacteria;p__OP8;c__SAW1_B6	0	0.0001	0.000766667	0
k__Bacteria;p__OP9;c__JS1	0	0.0003	3.33E-05	0
k__Bacteria;p__PAUC34f;c__	0	0	0.000133333	0
k__Bacteria;p__Planctomycetes;c__	0	0.0001	0.001833333	0
k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5	0	0	0.000233333	0
k__Bacteria;p__Planctomycetes;c__BD7-11	0	0.0006	0.0001	0.000166667
k__Bacteria;p__Planctomycetes;c__C6	0.000125	0.0013	0.0014	0
k__Bacteria;p__Planctomycetes;c__ODP123	0	0	0.000266667	0
k__Bacteria;p__Planctomycetes;c__OM190	0.000625	0.0011	0.001233333	0.001333333
k__Bacteria;p__Planctomycetes;c__Phycisphaerae	0.000625	0.0008	0.0043	0.000666667
k__Bacteria;p__Planctomycetes;c__Pla3	0	0.0002	0.0003	0.0005
k__Bacteria;p__Planctomycetes;c__Pla4	0	0	0	0
k__Bacteria;p__Planctomycetes;c__Planctomycetia	0.02725	0.0203	0.018366667	0.002833333
k__Bacteria;p__Planctomycetes;c__SBZP_4958	0	0	6.67E-05	0
k__Bacteria;p__Planctomycetes;c__vadinHA49	0	0.0006	0.000366667	0.0005
k__Bacteria;p__Poribacteria;c__	0	0	6.67E-05	0
k__Bacteria;p__Proteobacteria;c__	0.000125	0	0.0001	0
