variable	Diss	SITE	Habitats	Sim	Site
DU_GG	0.3855	DU	Gill-Gill	0.6145	DU2
DU_GG	0.39	DU	Gill-Gill	0.61	DU2
DU_GG	0.392	DU	Gill-Gill	0.608	DU2
DU_GG	0.3925	DU	Gill-Gill	0.6075	DU2
DU_GG	0.3925	DU	Gill-Gill	0.6075	DU2
DU_GG	0.3935	DU	Gill-Gill	0.6065	DU2
DU_GG	0.395	DU	Gill-Gill	0.605	DU2
DU_GG	0.3955	DU	Gill-Gill	0.6045	DU2
DU_GG	0.396	DU	Gill-Gill	0.604	DU2
DU_GG	0.3965	DU	Gill-Gill	0.6035	DU2
DU_GG	0.397	DU	Gill-Gill	0.603	DU2
DU_GG	0.3985	DU	Gill-Gill	0.6015	DU2
DU_GG	0.3995	DU	Gill-Gill	0.6005	DU2
DU_GG	0.3995	DU	Gill-Gill	0.6005	DU2
DU_GG	0.4	DU	Gill-Gill	0.6	DU2
DU_GG	0.4	DU	Gill-Gill	0.6	DU2
DU_GG	0.401	DU	Gill-Gill	0.599	DU2
DU_GG	0.4035	DU	Gill-Gill	0.5965	DU2
DU_GG	0.405	DU	Gill-Gill	0.595	DU2
DU_GG	0.405	DU	Gill-Gill	0.595	DU2
DU_GG	0.41	DU	Gill-Gill	0.59	DU2
DU_GG	0.4105	DU	Gill-Gill	0.5895	DU2
DU_GG	0.4105	DU	Gill-Gill	0.5895	DU2
DU_GG	0.417	DU	Gill-Gill	0.583	DU2
DU_GG	0.418	DU	Gill-Gill	0.582	DU2
DU_GG	0.418	DU	Gill-Gill	0.582	DU2
DU_GG	0.418	DU	Gill-Gill	0.582	DU2
DU_GG	0.42	DU	Gill-Gill	0.58	DU2
DU_GG	0.422	DU	Gill-Gill	0.578	DU2
DU_GG	0.422	DU	Gill-Gill	0.578	DU2
DU_GG	0.423	DU	Gill-Gill	0.577	DU2
DU_GG	0.424	DU	Gill-Gill	0.576	DU2
DU_GG	0.426	DU	Gill-Gill	0.574	DU2
DU_GG	0.853	DU	Gill-Gill	0.147	DU2
DU_GG	0.853	DU	Gill-Gill	0.147	DU2
DU_GG	0.854	DU	Gill-Gill	0.146	DU2
DU_GG	0.859	DU	Gill-Gill	0.141	DU2
DU_GG	0.864	DU	Gill-Gill	0.136	DU2
DU_GG	0.867	DU	Gill-Gill	0.133	DU2
DU_GG	0.868	DU	Gill-Gill	0.132	DU2
DU_GG	0.874	DU	Gill-Gill	0.126	DU2
DU_GG	0.876	DU	Gill-Gill	0.124	DU2
DU_GG	0.877	DU	Gill-Gill	0.123	DU2
DU_GG	0.881	DU	Gill-Gill	0.119	DU2
DU_GG	0.884	DU	Gill-Gill	0.116	DU2
DU_GG	0.887	DU	Gill-Gill	0.113	DU2
DU_GG	0.887	DU	Gill-Gill	0.113	DU2
DU_GG	0.889	DU	Gill-Gill	0.111	DU2
DU_GG	0.891	DU	Gill-Gill	0.109	DU2
DU_GG	0.891	DU	Gill-Gill	0.109	DU2
DU_GG	0.894	DU	Gill-Gill	0.106	DU2
DU_GG	0.9	DU	Gill-Gill	0.1	DU2
DU_GG	0.901	DU	Gill-Gill	0.099	DU2
DU_GG	0.902	DU	Gill-Gill	0.098	DU2
DU_GG	0.903	DU	Gill-Gill	0.097	DU2
DU_GG	0.904	DU	Gill-Gill	0.096	DU2
DU_GG	0.91	DU	Gill-Gill	0.09	DU2
DU_GG	0.91	DU	Gill-Gill	0.09	DU2
DU_GG	0.912	DU	Gill-Gill	0.088	DU2
DU_GG	0.913	DU	Gill-Gill	0.087	DU2
DU_GG	0.917	DU	Gill-Gill	0.083	DU2
DU_GG	0.918	DU	Gill-Gill	0.082	DU2
DU_GG	0.918	DU	Gill-Gill	0.082	DU2
DU_GG	0.92	DU	Gill-Gill	0.08	DU2
DU_GG	0.921	DU	Gill-Gill	0.079	DU2
DU_GG	0.924	DU	Gill-Gill	0.076	DU2
DU_GG	0.93	DU	Gill-Gill	0.07	DU2
DU_GG	0.932	DU	Gill-Gill	0.068	DU2
DU_GG	0.933	DU	Gill-Gill	0.067	DU2
DU_GG	0.935	DU	Gill-Gill	0.065	DU2
DU_GG	0.938	DU	Gill-Gill	0.062	DU2
DU_GG	0.939	DU	Gill-Gill	0.061	DU2
DU_GG	0.94	DU	Gill-Gill	0.06	DU2
DU_GG	0.948	DU	Gill-Gill	0.052	DU2
DU_GG	0.949	DU	Gill-Gill	0.051	DU2
DU_GG	0.964	DU	Gill-Gill	0.036	DU2
DU_GG	0.964	DU	Gill-Gill	0.036	DU2
DU_GG	0.968	DU	Gill-Gill	0.032	DU2
DU_GG	0.968	DU	Gill-Gill	0.032	DU2
DU_GG	0.976	DU	Gill-Gill	0.024	DU2
DU_GG	0.979	DU	Gill-Gill	0.021	DU2
DU_GG	0.987	DU	Gill-Gill	0.013	DU2
DU_GG	0.989	DU	Gill-Gill	0.011	DU2
DU_Gsed	0.599	DU	Gill-Sed	0.401	DU1
DU_Gsed	0.603	DU	Gill-Sed	0.397	DU1
DU_Gsed	0.603	DU	Gill-Sed	0.397	DU1
DU_Gsed	0.603	DU	Gill-Sed	0.397	DU1
DU_Gsed	0.604	DU	Gill-Sed	0.396	DU1
DU_Gsed	0.607	DU	Gill-Sed	0.393	DU1
DU_Gsed	0.608	DU	Gill-Sed	0.392	DU1
DU_Gsed	0.609	DU	Gill-Sed	0.391	DU1
DU_Gsed	0.609	DU	Gill-Sed	0.391	DU1
DU_Gsed	0.611	DU	Gill-Sed	0.389	DU1
DU_Gsed	0.612	DU	Gill-Sed	0.388	DU1
DU_Gsed	0.612	DU	Gill-Sed	0.388	DU1
DU_Gsed	0.617	DU	Gill-Sed	0.383	DU1
DU_Gsed	0.618	DU	Gill-Sed	0.382	DU1
DU_Gsed	0.62	DU	Gill-Sed	0.38	DU1
DU_Gsed	0.62	DU	Gill-Sed	0.38	DU1
DU_Gsed	0.622	DU	Gill-Sed	0.378	DU1
DU_Gsed	0.623	DU	Gill-Sed	0.377	DU1
DU_Gsed	0.626	DU	Gill-Sed	0.374	DU1
DU_Gsed	0.627	DU	Gill-Sed	0.373	DU1
DU_Gsed	0.627	DU	Gill-Sed	0.373	DU1
DU_Gsed	0.629	DU	Gill-Sed	0.371	DU1
DU_Gsed	0.63	DU	Gill-Sed	0.37	DU1
DU_Gsed	0.633	DU	Gill-Sed	0.367	DU1
DU_Gsed	0.633	DU	Gill-Sed	0.367	DU1
DU_Gsed	0.637	DU	Gill-Sed	0.363	DU1
DU_Gsed	0.641	DU	Gill-Sed	0.359	DU1
DU_Gsed	0.644	DU	Gill-Sed	0.356	DU1
DU_Gsed	0.644	DU	Gill-Sed	0.356	DU1
DU_Gsed	0.645	DU	Gill-Sed	0.355	DU1
DU_Gsed	0.646	DU	Gill-Sed	0.354	DU1
