"","variable","value"
"264","RI_SS",NA
"265","RI_SS",NA
"266","RI_SS",NA
"267","RI_SS",NA
"268","RI_SS",NA
"269","RI_SS",NA
"270","RI_SS",NA
"271","RI_SS",NA
"272","RI_SS",NA
"273","RI_SS",NA
"274","RI_SS",NA
"275","RI_SS",NA
"276","RI_SS",NA
"277","RI_SS",NA
"278","RI_SS",NA
"279","RI_SS",NA
"280","RI_SS",NA
"281","RI_SS",NA
"282","RI_SS",NA
"283","RI_SS",NA
"284","RI_SS",NA
"285","RI_SS",NA
"286","RI_SS",NA
"287","RI_SS",NA
"288","RI_SS",NA
"289","RI_SS",NA
"290","RI_SS",NA
"291","RI_SS",NA
"292","RI_SS",NA
"293","RI_SS",NA
"294","RI_SS",NA
"295","RI_SS",NA
"296","RI_SS",NA
"297","RI_SS",NA
"298","RI_SS",NA
"299","RI_SS",NA
"300","RI_SS",NA
"301","RI_SS",NA
"302","RI_SS",NA
"303","RI_SS",NA
"304","RI_SS",NA
"305","RI_SS",NA
"306","RI_SS",NA
"307","RI_SS",NA
"308","RI_SS",NA
"309","RI_SS",NA
"310","RI_SS",NA
"311","RI_SS",NA
"312","RI_SS",NA
"313","RI_SS",NA
"314","RI_SS",NA
"315","RI_SS",NA
"316","RI_SS",NA
"317","RI_SS",NA
"318","RI_SS",NA
"319","RI_SS",NA
"320","RI_SS",NA
"321","RI_SS",NA
"322","RI_SS",NA
"323","RI_SS",NA
"324","RI_SS",NA
"325","RI_SS",NA
"326","RI_SS",NA
"327","RI_SS",NA
"328","RI_SS",NA
"329","RI_SS",NA
"330","RI_SS",NA
"331","RI_SS",NA
"332","RI_SS",NA
"333","RI_SS",NA
"334","RI_SS",NA
"335","RI_SS",NA
"336","RI_SS",NA
"337","RI_SS",NA
"338","RI_SS",NA
"339","RI_SS",NA
"340","RI_SS",NA
"341","RI_SS",NA
"342","RI_SS",NA
"343","RI_SS",NA
"344","RI_SS",NA
"345","RI_SS",NA
"346","RI_SS",NA
"347","RI_SS",NA
"348","RI_SS",NA
"349","RI_SS",NA
"350","RI_SS",NA
"351","RI_SS",NA
"352","RI_SS",NA
"353","RI_SS",NA
"354","RI_SS",NA
"355","RI_SS",NA
"356","RI_SS",NA
"357","RI_SS",NA
"358","RI_SS",NA
"359","RI_SS",NA
"360","RI_SS",NA
"361","RI_SS",NA
"362","RI_SS",NA
"363","RI_SS",NA
"364","RI_SS",NA
"365","RI_SS",NA
"366","RI_SS",NA
"367","RI_SS",NA
"368","RI_SS",NA
"369","RI_SS",NA
"370","RI_SS",NA
"371","RI_SS",NA
"372","RI_SS",NA
"373","RI_SS",NA
"374","RI_SS",NA
"375","RI_SS",NA
"376","RI_SS",NA
"377","RI_SS",NA
"378","RI_SS",NA
"379","RI_SS",NA
"380","RI_SS",NA
"381","RI_SS",NA
"382","RI_SS",NA
"383","RI_SS",NA
"384","RI_SS",NA
"385","RI_SS",NA
"386","RI_SS",NA
"387","RI_SS",NA
"388","RI_SS",NA
"389","RI_SS",NA
"390","RI_SS",NA
"391","RI_SS",NA
"392","RI_SS",NA
"393","RI_SS",NA
"394","RI_SS",NA
"395","RI_SS",NA
"396","RI_SS",NA
"397","RI_SS",NA
"398","RI_SS",NA
"399","RI_SS",NA
"400","RI_SS",NA
"401","RI_SS",NA
"402","RI_SS",NA
"403","RI_SS",NA
"404","RI_SS",NA
"405","RI_SS",NA
"406","RI_SS",NA
"407","RI_SS",NA
"408","RI_SS",NA
"409","RI_SS",NA
"410","RI_SS",NA
"411","RI_SS",NA
"412","RI_SS",NA
"413","RI_SS",NA
"414","RI_SS",NA
"415","RI_SS",NA
"416","RI_SS",NA
"417","RI_SS",NA
"418","RI_SS",NA
"419","RI_SS",NA
"420","RI_SS",NA
"421","RI_SS",NA
"422","RI_SS",NA
"423","RI_SS",NA
"424","RI_SS",NA
"425","RI_SS",NA
"426","RI_SS",NA
"427","RI_SS",NA
"428","RI_SS",NA
"429","RI_SS",NA
"430","RI_SS",NA
"431","RI_SS",NA
"432","RI_SS",NA
"433","RI_SS",NA
"434","RI_SS",NA
"435","RI_SS",NA
"436","RI_SS",NA
"437","RI_SS",NA
"438","RI_SS",NA
"439","RI_SS",NA
"440","RI_SS",NA
"441","RI_SS",NA
"442","RI_SS",NA
"443","RI_SS",NA
"444","RI_SS",NA
"445","RI_SS",NA
"446","RI_SS",NA
"447","RI_SS",NA
"448","RI_SS",NA
"449","RI_SS",NA
"450","RI_SS",NA
"451","RI_SS",NA
"452","RI_SS",NA
"453","RI_SS",NA
"454","RI_SS",NA
"455","RI_SS",NA
"456","RI_SS",NA
"457","RI_SS",NA
"458","RI_SS",NA
"459","RI_SS",NA
"460","RI_SS",NA
"461","RI_SS",NA
"462","RI_SS",NA
"463","RI_SS",NA
"464","RI_SS",NA
"465","RI_SS",NA
"466","RI_SS",NA
"467","RI_SS",NA
"468","RI_SS",NA
"469","RI_SS",NA
"470","RI_SS",NA
"471","RI_SS",NA
"472","RI_SS",NA
"473","RI_SS",NA
"474","RI_SS",NA
"475","RI_SS",NA
"476","RI_SS",NA
"477","RI_SS",NA
"478","RI_SS",NA
"479","RI_SS",NA
"480","RI_SS",NA
"481","RI_SS",NA
"482","RI_SS",NA
"483","RI_SS",NA
"484","RI_SS",NA
"485","RI_SS",NA
"486","RI_SS",NA
"487","RI_SS",NA
"488","RI_SS",NA
"489","RI_SS",NA
"490","RI_SS",NA
"491","RI_SS",NA
"492","RI_SS",NA
"493","RI_SS",NA
"494","RI_SS",NA
"495","RI_SS",NA
"496","RI_SS",NA
"497","RI_SS",NA
"498","RI_SS",NA
"499","RI_SS",NA
"500","RI_SS",NA
"501","RI_SS",NA
"502","RI_SS",NA
"503","RI_SS",NA
"504","RI_SS",NA
"505","RI_SS",NA
"506","RI_SS",NA
"507","RI_SS",NA
"508","RI_SS",NA
"509","RI_SS",NA
"510","RI_SS",NA
"511","RI_SS",NA
"512","RI_SS",NA
"513","RI_SS",NA
"514","RI_SS",NA
"515","RI_SS",NA
"516","RI_SS",NA
"517","RI_SS",NA
"518","RI_SS",NA
"519","RI_SS",NA
"520","RI_SS",NA
"521","RI_SS",NA
"522","RI_SS",NA
"523","RI_SS",NA
"524","RI_SS",NA
"525","RI_SS",NA
"526","RI_SS",NA
"527","RI_SS",NA
"528","RI_SS",NA
"529","RI_SS",NA
"530","RI_SS",NA
"531","RI_SS",NA
"532","RI_SS",NA
"533","RI_SS",NA
"534","RI_SS",NA
"535","RI_SS",NA
"536","RI_SS",NA
"537","RI_SS",NA
"538","RI_SS",NA
"539","RI_SS",NA
"540","RI_SS",NA
"541","RI_SS",NA
"542","RI_SS",NA
"543","RI_SS",NA
"544","RI_SS",NA
"545","RI_SS",NA
"546","RI_SS",NA
"547","RI_SS",NA
"548","RI_SS",NA
"549","RI_SS",NA
"550","RI_SS",NA
"551","RI_SS",NA
"552","RI_SS",NA
"553","RI_SS",NA
"554","RI_SS",NA
"555","RI_SS",NA
"556","RI_SS",NA
"557","RI_SS",NA
"558","RI_SS",NA
"559","RI_SS",NA
"560","RI_SS",NA
"561","RI_SS",NA
"562","RI_SS",NA
"563","RI_SS",NA
"564","RI_SS",NA
"565","RI_SS",NA
"566","RI_SS",NA
"567","RI_SS",NA
"568","RI_SS",NA
"569","RI_SS",NA
"570","RI_SS",NA
"571","RI_SS",NA
"572","RI_SS",NA
"573","RI_SS",NA
"574","RI_SS",NA
"575","RI_SS",NA
"576","RI_SS",NA
"577","RI_SS",NA
"578","RI_SS",NA
"579","RI_SS",NA
"580","RI_SS",NA
"581","RI_SS",NA
"582","RI_SS",NA
"583","RI_SS",NA
"584","RI_SS",NA
"585","RI_SS",NA
"586","RI_SS",NA
"587","RI_SS",NA
"588","RI_SS",NA
"589","RI_SS",NA
"590","RI_SS",NA
"591","RI_SS",NA
"592","RI_SS",NA
"593","RI_SS",NA
"594","RI_SS",NA
"595","RI_SS",NA
"596","RI_SS",NA
"597","RI_SS",NA
"598","RI_SS",NA
"599","RI_SS",NA
"600","RI_SS",NA
"601","RI_SS",NA
"602","RI_SS",NA
"603","RI_SS",NA
"604","RI_SS",NA
"605","RI_SS",NA
"606","RI_SS",NA
"607","RI_SS",NA
"608","RI_SS",NA
"609","RI_SS",NA
"610","RI_SS",NA
"611","RI_SS",NA
"612","RI_SS",NA
"613","RI_SS",NA
"614","RI_SS",NA
"615","RI_SS",NA
"616","RI_SS",NA
"617","RI_SS",NA
"618","RI_SS",NA
"619","RI_SS",NA
"620","RI_SS",NA
"621","RI_SS",NA
"622","RI_SS",NA
"623","RI_SS",NA
"624","RI_SS",NA
"625","RI_SS",NA
"626","RI_SS",NA
"627","RI_SS",NA
"628","RI_SS",NA
"629","RI_SS",NA
"630","RI_SS",NA
"631","RI_SS",NA
"632","RI_SS",NA
"633","RI_SS",NA
"634","RI_SS",NA
"635","RI_SS",NA
"636","RI_SS",NA
"637","RI_SS",NA
"638","RI_SS",NA
"639","RI_SS",NA
"640","RI_SS",NA
"641","RI_SS",NA
"642","RI_SS",NA
"643","RI_SS",NA
"644","RI_SS",NA
"645","RI_SS",NA
"646","RI_SS",NA
"647","RI_SS",NA
"648","RI_SS",NA
"649","RI_SS",NA
"650","RI_SS",NA
"651","RI_SS",NA
"652","RI_SS",NA
"653","RI_SS",NA
"654","RI_SS",NA
"655","RI_SS",NA
"656","RI_SS",NA
"657","RI_SS",NA
"658","RI_SS",NA
"659","RI_SS",NA
"660","RI_SS",NA
"661","RI_SS",NA
"662","RI_SS",NA
"663","RI_SS",NA
"664","RI_SS",NA
"665","RI_SS",NA
"666","RI_SS",NA
"667","RI_SS",NA
"668","RI_SS",NA
"669","RI_SS",NA
"670","RI_SS",NA
"671","RI_SS",NA
"672","RI_SS",NA
"673","RI_SS",NA
"674","RI_SS",NA
"675","RI_SS",NA
"676","RI_SS",NA
"677","RI_SS",NA
"678","RI_SS",NA
"679","RI_SS",NA
"680","RI_SS",NA
"681","RI_SS",NA
"682","RI_SS",NA
"683","RI_SS",NA
"684","RI_SS",NA
"685","RI_SS",NA
"686","RI_SS",NA
"687","RI_SS",NA
"688","RI_SS",NA
"689","RI_SS",NA
"690","RI_SS",NA
"691","RI_SS",NA
"692","RI_SS",NA
"693","RI_SS",NA
"694","RI_SS",NA
"695","RI_SS",NA
"696","RI_SS",NA
"697","RI_SS",NA
"698","RI_SS",NA
"699","RI_SS",NA
"700","RI_SS",NA
"701","RI_SS",NA
"702","RI_SS",NA
"703","RI_SS",NA
"704","RI_SS",NA
"705","RI_SS",NA
"706","RI_SS",NA
"707","RI_SS",NA
"708","RI_SS",NA
"709","RI_SS",NA
"710","RI_SS",NA
"711","RI_SS",NA
"712","RI_SS",NA
"713","RI_SS",NA
"714","RI_SS",NA
"715","RI_SS",NA
"716","RI_SS",NA
"717","RI_SS",NA
"718","RI_SS",NA
"719","RI_SS",NA
"720","RI_SS",NA
"721","RI_SS",NA
"722","RI_SS",NA
"723","RI_SS",NA
"724","RI_SS",NA
"725","RI_SS",NA
"726","RI_SS",NA
"727","RI_SS",NA
"728","RI_SS",NA
"729","RI_SS",NA
"730","RI_SS",NA
"731","RI_SS",NA
"732","RI_SS",NA
"733","RI_SS",NA
"734","RI_SS",NA
"735","RI_SS",NA
"736","RI_SS",NA
"737","RI_SS",NA
"738","RI_SS",NA
"739","RI_SS",NA
"740","RI_SS",NA
"741","RI_SS",NA
"742","RI_SS",NA
"743","RI_SS",NA
"744","RI_SS",NA
"745","RI_SS",NA
"746","RI_SS",NA
"747","RI_SS",NA
"748","RI_SS",NA
"749","RI_SS",NA
"750","RI_SS",NA
"751","RI_SS",NA
"752","RI_SS",NA
"753","RI_SS",NA
"754","RI_SS",NA
"755","RI_SS",NA
"756","RI_SS",NA
"757","RI_SS",NA
"758","RI_SS",NA
"759","RI_SS",NA
"760","RI_SS",NA
"761","RI_SS",NA
"762","RI_SS",NA
"763","RI_SS",NA
"764","RI_SS",NA
"765","RI_SS",NA
"766","RI_SS",NA
"767","RI_SS",NA
"768","RI_SS",NA
"769","RI_SS",NA
"770","RI_SS",NA
"771","RI_SS",NA
"772","RI_SS",NA
"773","RI_SS",NA
"774","RI_SS",NA
