Class	Stomach	Gills	Sed	WC
k__Bacteria;p__Fibrobacteres;c__B5-096	0	0	0.00016	4.35E-05
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	0	0.000142857	0.00032	0
k__Bacteria;p__Fibrobacteres;c__TG3	0.000241379	0.000914286	0.00137	0.000391304
k__Bacteria;p__Firmicutes;c__Bacilli	0.001517241	0.002685714	0.00034	0.003695652
k__Bacteria;p__Firmicutes;c__Clostridia	0.00862069	0.004771429	0.01136	0.001043478
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	6.90E-05	2.86E-05	2.00E-05	0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	0.000965517	0.002114286	0.00144	0.000521739
k__Bacteria;p__GN02;c__	0	8.57E-05	7.00E-05	0
k__Bacteria;p__GN02;c__3BR-5F	0	5.71E-05	4.00E-05	0
k__Bacteria;p__GN02;c__BB34	3.45E-05	5.71E-05	0.00019	0
k__Bacteria;p__GN02;c__BD1-5	0.003517241	0.080028571	0.00046	0
k__Bacteria;p__GN02;c__GKS2-174	0	5.71E-05	2.00E-05	0
k__Bacteria;p__GN02;c__GN07	0	0	3.00E-05	0
k__Bacteria;p__GN02;c__IIB17	0	0	6.00E-05	0
k__Bacteria;p__GN04;c__	0	0.000171429	0.0002	0
k__Bacteria;p__GN04;c__5bav_B12	0	0	1.00E-05	0
k__Bacteria;p__GN04;c__GN15	0	0.000142857	0.00161	0
k__Bacteria;p__GOUTA4;c__	0	2.86E-05	3.00E-05	0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1	0	8.57E-05	0.00044	8.70E-05
k__Bacteria;p__Gemmatimonadetes;c__Gemm-2	0.000206897	0.000285714	0.00323	0.000173913
k__Bacteria;p__Gemmatimonadetes;c__Gemm-4	0.000172414	0.000571429	0.00108	8.70E-05
k__Bacteria;p__Gemmatimonadetes;c__Gemm-5	0	2.86E-05	0	0
k__Bacteria;p__Gemmatimonadetes;c__JL-ETNP-Z39	0	0	0.00012	0
k__Bacteria;p__H-178;c__	0	0.0002	0.00226	0
k__Bacteria;p__Hyd24-12;c__WM88	0	0.000314286	0.00077	0.000217391
k__Bacteria;p__KSB3;Other	0	2.86E-05	4.00E-05	0
k__Bacteria;p__KSB3;c__	6.90E-05	8.57E-05	0.00064	0
k__Bacteria;p__KSB3;c__GN06	0	0	1.00E-05	0
k__Bacteria;p__LCP-89;c__SAW1_B44	0	5.71E-05	0.00056	0.000130435
k__Bacteria;p__LD1;c__	3.45E-05	0	4.00E-05	0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0.000586207	0.0004	0.00325	0.000565217
k__Bacteria;p__MVS-104;c__	0	0	3.00E-05	4.35E-05
k__Bacteria;p__NKB19;c__	0.000344828	0	8.00E-05	0
k__Bacteria;p__NKB19;c__SHAB590	0	0	1.00E-05	0
k__Bacteria;p__NKB19;c__TSBW08	0	0.000142857	0.00021	0
k__Bacteria;p__Nitrospirae;c__Nitrospira	0	8.57E-05	0.00022	4.35E-05
k__Bacteria;p__OD1;c__	0.000137931	0.000171429	0.00015	0
k__Bacteria;p__OD1;c__ABY1	3.45E-05	5.71E-05	0.00012	8.70E-05
k__Bacteria;p__OD1;c__ZB2	0	0.000142857	0.00043	0.000565217
k__Bacteria;p__OP1;c__MSBL6	0	0	9.00E-05	0
k__Bacteria;p__OP1;c__[Acetothermia]	0	0	2.00E-05	0
k__Bacteria;p__OP11;c__	0	2.86E-05	1.00E-05	0
k__Bacteria;p__OP11;c__WCHB1-64	0	0	0.00011	8.70E-05
k__Bacteria;p__OP3;Other	0	5.71E-05	0.00016	0
k__Bacteria;p__OP3;c__	0	2.86E-05	4.00E-05	4.35E-05
k__Bacteria;p__OP3;c__BD4-9	3.45E-05	0.0002	0.00095	8.70E-05
k__Bacteria;p__OP3;c__PBS-25	0	0.000171429	0.00053	8.70E-05
k__Bacteria;p__OP3;c__koll11	3.45E-05	8.57E-05	0.00066	8.70E-05
k__Bacteria;p__OP8;c__OP8_1	3.45E-05	0.000171429	0.00034	0
k__Bacteria;p__OP8;c__OP8_2	0.000896552	0.000285714	0.00135	0.000217391
k__Bacteria;p__OP8;c__SAW1_B6	0	8.57E-05	0.00054	0
k__Bacteria;p__OP9;c__JS1	0	0.000114286	0.00017	8.70E-05
k__Bacteria;p__PAUC34f;c__	0	0.000114286	0.00026	0
k__Bacteria;p__Planctomycetes;c__	0	0.000171429	0.00165	0
k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5	0	2.86E-05	0.00015	8.70E-05
k__Bacteria;p__Planctomycetes;c__BD7-11	3.45E-05	0.0002	0.00019	4.35E-05
k__Bacteria;p__Planctomycetes;c__C6	0.000448276	0.000971429	0.00135	0
k__Bacteria;p__Planctomycetes;c__ODP123	0	2.86E-05	0.00014	0
k__Bacteria;p__Planctomycetes;c__OM190	0.001034483	0.000685714	0.00126	0.00073913
k__Bacteria;p__Planctomycetes;c__Phycisphaerae	0.000724138	0.001285714	0.00472	0.000782609
k__Bacteria;p__Planctomycetes;c__Pla3	0	8.57E-05	0.00032	0.000130435
k__Bacteria;p__Planctomycetes;c__Pla4	0	0	1.00E-05	0
k__Bacteria;p__Planctomycetes;c__Planctomycetia	0.021827586	0.0192	0.01281	0.003347826
k__Bacteria;p__Planctomycetes;c__SBZP_4958	0	2.86E-05	5.00E-05	0
k__Bacteria;p__Planctomycetes;c__vadinHA49	3.45E-05	0.000371429	0.00064	0.00026087
k__Bacteria;p__Poribacteria;c__	0	0	4.00E-05	0
k__Bacteria;p__Proteobacteria;c__	3.45E-05	5.71E-05	0.00016	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.047896552	0.069542857	0.04213	0.180521739
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.009586207	0.011714286	0.00341	0.078826087
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.041137931	0.045457143	0.18925	0.025608696
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	0.027448276	0.059371429	0.04019	0.006695652
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.08462069	0.186771429	0.25607	0.189173913
k__Bacteria;p__Proteobacteria;c__TA18	0.000103448	0.000257143	0.00057	8.70E-05
k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria	0	0.000114286	0.00016	4.35E-05
k__Bacteria;p__SAR406;c__AB16	0.000137931	0.0004	0.00217	0.001173913
k__Bacteria;p__SBR1093;c__VHS-B5-50	0	5.71E-05	0	0
k__Bacteria;p__SR1;c__	0	5.71E-05	0.00024	4.35E-05
k__Bacteria;p__Spirochaetes;c__GN05	0	0	4.00E-05	0
k__Bacteria;p__Spirochaetes;c__MVP-15	0	0	0.00012	4.35E-05
k__Bacteria;p__Spirochaetes;c__Spirochaetes	0.001344828	0.001742857	0.01258	0.000521739
k__Bacteria;p__Spirochaetes;c__[Brachyspirae]	0.056344828	0.227	0.00036	0
k__Bacteria;p__Spirochaetes;c__[Leptospirae]	0	8.57E-05	0.00022	0
