Class	Stomach	Gills	Sed	WC
k__Bacteria;p__Fibrobacteres;c__TG3	0.0004	0.0002	0.0011	0.000833333
k__Bacteria;p__Firmicutes;c__Bacilli	0.0002	0.0016	0.00015	0.0045
k__Bacteria;p__Firmicutes;c__Clostridia	0.012	0.0012	0.0036	0.001
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.0004	0	0	0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	0.0002	0.0004	0.00065	0.000166667
k__Bacteria;p__GN02;c__	0	0	0.00E+00	0
k__Bacteria;p__GN02;c__3BR-5F	0	0	5.00E-05	0
k__Bacteria;p__GN02;c__BB34	0.0002	0	0.00015	0
k__Bacteria;p__GN02;c__BD1-5	0	0.0744	3.50E-04	0
k__Bacteria;p__GN02;c__GKS2-174	0	0	5.00E-05	0
k__Bacteria;p__GN02;c__GN07	0	0	0	0
k__Bacteria;p__GN02;c__IIB17	0	0	5.00E-05	0
k__Bacteria;p__GN04;c__	0	0	4.50E-04	0
k__Bacteria;p__GN04;c__5bav_B12	0	0	0	0
k__Bacteria;p__GN04;c__GN15	0	0	2.60E-03	0
k__Bacteria;p__GOUTA4;c__	0	0	5.00E-05	0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1	0	0	0.0006	0.000166667
k__Bacteria;p__Gemmatimonadetes;c__Gemm-2	0	0	0.0034	0.000166667
k__Bacteria;p__Gemmatimonadetes;c__Gemm-4	0	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-5	0	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__JL-ETNP-Z39	0	0	0.0001	0
k__Bacteria;p__H-178;c__	0	0	0.00045	0
k__Bacteria;p__Hyd24-12;c__WM88	0	0	0.0005	0.000833333
k__Bacteria;p__KSB3;Other	0	0	0	0
k__Bacteria;p__KSB3;c__	0	0	0.00055	0
k__Bacteria;p__KSB3;c__GN06	0	0	0	0
k__Bacteria;p__LCP-89;c__SAW1_B44	0	0	0.0009	0.000166667
k__Bacteria;p__LD1;c__	0	0	0.0002	0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0.0008	0.0002	2.05E-03	0.001166667
k__Bacteria;p__MVS-104;c__	0	0	5.00E-05	0
k__Bacteria;p__NKB19;c__	0	0	5.00E-05	0
k__Bacteria;p__NKB19;c__SHAB590	0	0	0.00E+00	0
k__Bacteria;p__NKB19;c__TSBW08	0	0	0.0002	0
k__Bacteria;p__Nitrospirae;c__Nitrospira	0	0	0.0005	0
k__Bacteria;p__OD1;c__	0	0	5.00E-05	0
k__Bacteria;p__OD1;c__ABY1	0	0	0.0001	0
k__Bacteria;p__OD1;c__ZB2	0	0	5.00E-04	0.000166667
k__Bacteria;p__OP1;c__MSBL6	0	0	0.00E+00	0
k__Bacteria;p__OP1;c__[Acetothermia]	0	0	0	0
